date,twoPM,fourPM,ninePM
"'May 24, 2010'",'735','941','169'
"'May 25, 2010'",'162','267','753'
"'May 26, 2010'",'676','020','884'
"'May 27, 2010'",'473','179','291'
"'May 28, 2010'",'500','915','306'
"'May 29, 2010'",'835','811','804'
"'May 30, 2010'",'456','111','303'
"'May 31, 2010'",'N/D','N/D','N/D'
"'Jun 01, 2010'",'543','299','819'
"'Jun 02, 2010'",'501','791','239'
"'Jun 03, 2010'",'947','860','147'
"'Jun 04, 2010'",'149','154','265'
"'Jun 05, 2010'",'991','950','022'
"'Jun 06, 2010'",'377','618','917'
"'Jun 07, 2010'",'005','419','539'
"'Jun 08, 2010'",'292','973','097'
"'Jun 09, 2010'",'048','007','777'
"'Jun 10, 2010'",'092','329','706'
"'Jun 11, 2010'",'487','243','027'
"'Jun 12, 2010'",'829','451','468'
"'Jun 13, 2010'",'886','201','340'
"'Jun 14, 2010'",'049','860','946'
"'Jun 15, 2010'",'866','875','471'
"'Jun 16, 2010'",'329','244','288'
"'Jun 17, 2010'",'734','768','921'
"'Jun 18, 2010'",'652','478','540'
"'Jun 19, 2010'",'014','119','277'
"'Jun 20, 2010'",'712','803','680'
"'Jun 21, 2010'",'050','139','624'
"'Jun 22, 2010'",'763','510','076'
"'Jun 23, 2010'",'461','740','407'
"'Jun 24, 2010'",'199','478','415'
"'Jun 25, 2010'",'148','814','644'
"'Jun 26, 2010'",'448','934','256'
"'Jun 27, 2010'",'265','007','918'
"'Jun 28, 2010'",'958','239','908'
"'Jun 29, 2010'",'064','746','556'
"'Jun 30, 2010'",'225','445','071'
"'Jul 01, 2010'",'505','422','768'
"'Jul 02, 2010'",'857','149','783'
"'Jul 03, 2010'",'262','547','256'
"'Jul 04, 2010'",'925','985','662'
"'Jul 05, 2010'",'177','743','736'
"'Jul 06, 2010'",'103','698','401'
"'Jul 07, 2010'",'762','500','441'
"'Jul 08, 2010'",'649','811','880'
"'Jul 09, 2010'",'697','030','914'
"'Jul 10, 2010'",'392','152','517'
"'Jul 11, 2010'",'917','935','888'
"'Jul 12, 2010'",'966','020','485'
"'Jul 13, 2010'",'963','873','920'
"'Jul 14, 2010'",'395','377','538'
"'Jul 16, 2010'",'122','353','013'
"'Jul 17, 2010'",'558','699','039'
"'Jul 18, 2010'",'173','130','112'
"'Jul 19, 2010'",'295','922','872'
"'Jul 20, 2010'",'040','668','732'
"'Jul 21, 2010'",'683','031','023'
"'Jul 22, 2010'",'500','335','724'
"'Jul 23, 2010'",'806','991','616'
"'Jul 24, 2010'",'657','688','010'
"'Jul 25, 2010'",'113','794','625'
"'Jul 26, 2010'",'221','646','184'
"'Jul 27, 2010'",'808','652','244'
"'Jul 28, 2010'",'877','621','164'
"'Jul 29, 2010'",'133','620','825'
"'Jul 30, 2010'",'284','317','560'
"'Jul 31, 2010'",'381','739','528'
"'Aug 01, 2010'",'358','170','021'
"'Aug 02, 2010'",'014','199','440'
"'Aug 03, 2010'",'042','183','458'
"'Aug 04, 2010'",'618','687','127'
"'Aug 05, 2010'",'449','908','374'
"'Aug 06, 2010'",'616','812','191'
"'Aug 07, 2010'",'717','370','476'
"'Aug 08, 2010'",'720','386','948'
"'Aug 09, 2010'",'378','363','197'
"'Aug 10, 2010'",'665','709','019'
"'Aug 11, 2010'",'722','398','147'
"'Aug 12, 2010'",'559','914','338'
"'Aug 13, 2010'",'124','541','971'
"'Aug 14, 2010'",'432','964','477'
